time,id,pir_state,t_temp,field1,field2,field3,field4,count
2022-09-16T19:00:50+05:30,1507,0,31,"27.50,28.25,28.50,28.75,29.25,29.00,29.00,28.25,25.75,26.75,27.25,27.75,28.75,28.75,28.50,27.50","25.00,25.25,25.25,27.50,27.00,27.25,26.00,25.50,24.75,26.00,25.25,27.25,27.50,28.00,25.00,24.50","25.00,26.00,25.75,25.25,26.25,27.25,25.00,24.25,24.50,24.50,24.75,24.25,24.75,26.25,24.25,23.75","24.50,24.50,24.50,24.50,24.50,23.75,23.75,24.50,23.25,24.50,24.00,23.75,24.00,23.75,23.50,24.00",3
2022-09-16T19:01:24+05:30,1508,0,31,"27.50,28.00,28.00,28.50,29.25,29.50,28.75,28.50,25.75,26.50,27.25,27.75,28.75,29.00,28.25,27.75","25.00,25.25,25.25,27.25,27.25,26.75,25.75,25.00,24.50,25.25,25.00,26.75,27.75,28.25,25.25,24.25","24.75,25.25,25.50,25.50,26.25,27.50,24.75,23.50,24.25,24.75,24.50,24.75,24.75,25.50,23.50,23.50","24.50,24.75,24.25,24.50,24.25,24.25,23.75,24.00,24.25,23.50,24.00,23.50,24.00,23.75,22.25,23.75",3
2022-09-16T19:01:57+05:30,1509,0,31,"27.25,28.00,28.00,28.50,28.75,29.50,28.75,29.25,26.25,26.75,27.25,28.00,28.75,28.75,28.50,28.50","25.00,25.00,25.00,27.00,27.50,27.25,25.75,25.25,24.75,25.25,25.50,27.50,28.25,28.25,25.25,24.75","25.00,25.75,26.00,25.50,27.00,28.25,24.75,24.25,24.25,24.50,24.50,24.75,25.00,25.75,24.00,24.00","24.25,24.50,24.25,24.25,24.50,24.50,24.50,24.00,23.75,23.75,24.00,24.00,24.25,23.75,23.50,23.50",3
2022-09-16T19:02:31+05:30,1510,0,31,"27.25,27.75,28.75,28.25,29.25,29.25,29.25,28.75,26.00,27.25,27.25,28.00,28.75,28.75,28.75,28.75","25.25,25.25,25.00,27.25,27.75,27.25,26.25,25.75,24.75,26.00,25.50,27.50,28.00,28.25,25.00,24.50","24.75,25.50,26.00,24.75,26.25,27.50,25.00,24.50,24.25,24.50,24.75,24.75,24.50,26.50,23.75,24.25","24.50,24.25,24.25,24.75,24.25,24.00,24.25,24.75,23.50,24.50,24.00,23.75,24.25,23.75,23.50,24.75",3
2022-09-16T19:03:04+05:30,1511,0,31,"27.00,27.25,27.75,28.25,28.75,28.50,29.50,28.50,25.50,26.25,26.50,28.00,28.00,28.25,28.25,28.00","24.50,24.50,24.75,26.50,27.00,26.25,25.75,25.00,25.25,25.00,24.75,26.75,27.25,28.25,24.75,23.75","24.25,25.25,25.25,24.50,25.75,26.50,24.00,23.75,23.75,24.00,24.25,24.00,24.50,24.50,24.00,23.25","23.75,24.25,24.25,23.75,24.00,23.50,23.75,23.25,23.25,23.25,23.75,23.75,23.50,23.25,23.25,23.50",3
2022-09-16T19:03:38+05:30,1512,0,31,"27.00,27.75,27.75,28.25,28.75,28.75,29.25,28.50,25.75,26.75,26.75,27.75,28.50,29.25,28.25,28.25","24.25,25.25,24.75,26.50,27.50,27.50,25.75,25.75,24.50,25.50,24.75,26.25,27.50,28.25,25.00,24.00","24.75,25.75,25.50,24.50,25.75,27.50,25.00,23.75,24.00,24.25,24.50,24.25,24.50,25.25,24.25,23.50","24.00,24.50,24.50,24.25,24.25,24.25,24.00,24.25,23.75,24.25,24.25,24.00,23.50,23.50,23.75,24.25",3
2022-09-16T19:04:12+05:30,1513,0,31,"27.25,27.75,28.00,28.75,29.25,28.75,29.50,28.00,25.50,26.50,27.00,27.75,28.75,28.75,28.00,28.00","25.00,24.75,25.25,27.00,27.50,26.75,25.50,25.25,24.50,25.50,25.25,27.00,27.50,27.25,24.75,24.25","24.25,26.00,25.25,25.00,26.25,27.25,24.25,23.50,23.75,24.00,24.50,24.50,25.25,25.25,24.00,23.50","23.75,24.50,24.25,24.00,24.00,23.75,23.25,24.00,23.50,24.00,24.00,24.00,23.75,23.25,23.75,23.50",3
2022-09-16T19:04:45+05:30,1514,0,31,"27.00,27.75,27.75,28.75,29.00,29.50,29.25,28.75,25.75,26.75,28.00,27.75,28.25,28.50,28.25,27.75","25.00,24.75,25.50,27.50,27.25,27.25,25.75,25.25,25.00,25.50,25.50,27.75,27.75,27.25,24.75,24.25","24.50,25.75,25.75,26.00,26.50,27.25,24.50,24.25,24.25,24.75,24.50,24.75,25.25,25.50,24.25,23.50","24.50,24.75,24.50,24.25,24.00,24.00,24.50,24.25,23.50,24.00,24.00,24.00,24.00,23.75,23.50,24.25",3
2022-09-16T19:05:19+05:30,1515,0,31,"27.50,28.00,28.50,28.75,29.25,29.00,29.25,29.50,25.75,26.75,27.25,28.25,28.75,28.75,28.50,28.25","25.25,25.25,25.50,27.25,27.75,27.00,26.00,24.75,25.25,25.50,26.00,27.75,27.75,27.50,25.25,24.50","25.50,25.75,26.50,27.50,27.00,27.25,24.50,24.25,24.50,24.25,24.25,25.00,25.25,25.75,24.00,23.75","24.50,24.50,24.75,24.75,24.75,24.25,23.50,24.00,23.75,24.25,24.50,24.00,24.00,24.25,24.00,24.00",3
2022-09-16T19:05:53+05:30,1516,0,31,"27.00,27.50,28.25,28.50,29.50,29.00,29.50,29.25,26.25,26.75,27.25,28.00,29.25,29.25,28.25,28.00","25.00,25.25,25.75,27.75,27.75,26.50,26.00,25.50,24.75,25.75,26.25,28.50,27.50,27.25,25.00,24.25","25.50,27.00,27.25,27.25,26.00,26.50,25.25,24.50,24.50,25.25,25.25,25.25,25.00,26.00,25.00,23.50","24.25,25.25,24.50,24.75,24.00,24.25,24.25,24.50,23.75,24.25,24.50,24.00,24.25,24.00,23.25,24.50",3
2022-09-16T19:06:26+05:30,1517,0,31,"27.25,27.50,28.50,28.50,29.25,29.00,29.25,28.75,25.50,26.50,27.25,27.75,28.25,28.75,28.25,28.00","24.50,25.00,25.50,27.50,27.25,26.50,25.50,25.50,24.75,25.50,25.25,27.25,27.75,27.00,24.50,24.25","24.75,26.25,26.00,28.00,25.75,27.75,25.00,24.00,24.25,24.75,24.50,25.25,24.50,26.25,24.00,23.25","24.25,24.25,24.25,24.50,24.00,23.75,24.25,23.50,23.50,24.25,24.00,23.50,24.00,23.50,23.25,24.00",3
